datazone,same_address_last_year,same_datazone_last_year
S01000148,644,2
S01000149,737,3
S01000150,583,1
S01000151,844,3
S01000152,693,5
S01000153,461,3
S01000154,529,5
S01000155,744,1
S01000156,723,3
S01000157,646,2
S01000158,868,-
S01000159,814,3
S01000160,771,-
S01000161,687,20
S01000162,799,8
S01000163,960,-
S01000164,472,1
S01000165,778,2
S01000166,744,14
S01000167,669,6
S01000168,907,1
S01000169,698,6
S01000170,679,9
S01000171,726,4
S01000172,481,-
S01000173,727,5
S01000174,683,14
S01000175,387,-
S01000176,418,5
S01000177,477,-
S01000178,723,-
S01000179,703,3
S01000180,640,1
S01000181,613,8
S01000182,817,-
S01000183,711,38
S01000184,665,3
S01000185,647,12
S01000186,895,2
S01000187,675,1
S01000188,559,18
S01000189,576,1
S01000190,824,3
S01000191,706,8
S01000192,619,10
S01000193,731,2
S01000194,601,16
S01000195,630,2
S01000196,851,12
S01000197,579,-
S01000198,692,6
S01000199,620,9
S01000200,793,-
S01000201,605,5
S01000202,737,1
S01000203,518,9
S01000204,592,2
S01000205,521,63
S01000206,639,6
S01000207,792,9
S01000208,693,9
S01000209,845,30
S01000210,498,-
S01000211,587,8
S01000212,724,5
S01000213,584,4
S01000214,481,-
S01000215,476,11
S01000216,584,1
S01000217,614,7
S01000218,679,-
S01000219,635,4
S01000220,526,4
S01000221,704,6
S01000222,729,1
S01000223,480,3
S01000224,702,-
S01000225,549,1
S01000226,559,7
S01000227,581,4
S01000228,566,5
S01000229,740,1
S01000230,622,1
S01000231,698,4
S01000232,632,2
S01000233,524,-
S01000234,703,-
S01000235,724,5
S01000236,651,1
S01000237,856,1
S01000238,459,-
S01000239,683,2
S01000240,677,6
S01000241,689,1
S01000242,558,3
S01000243,698,6
S01000244,959,8
S01000245,885,1
S01000246,719,-
S01000247,734,1
S01000248,794,-
S01000249,682,2
S01000250,736,5
S01000251,470,-
S01000252,809,-
S01000253,713,-
S01000254,725,1
S01000255,589,4
S01000256,841,1
S01000257,769,5
S01000258,618,4
S01000259,582,1
S01000260,766,4
S01000261,895,5
S01000262,880,6
S01000263,737,2
S01000264,975,2
S01000265,731,1
S01000266,899,9
S01000267,630,1
S01000268,700,17
S01000269,575,12
S01000270,875,10
S01000271,814,7
S01000272,834,20
S01000273,364,-
S01000274,553,10
S01000275,925,8
S01000276,678,1
S01000277,589,5
S01000278,492,8
S01000279,499,-
S01000280,548,-
S01000281,586,19
S01000282,586,4
S01000283,743,29
S01000284,728,28
S01000285,621,12
S01000286,768,14
S01000287,590,1
S01000288,830,8
S01000289,783,3
S01000290,678,10
S01000291,699,11
S01000292,837,1
S01000293,653,8
S01000294,635,-
S01000295,574,-
S01000296,481,4
S01000297,717,12
S01000298,280,7
S01000299,810,1
S01000300,691,4
S01000301,500,10
S01000302,517,2
S01000303,549,2
S01000304,854,-
S01000305,951,10
S01000306,662,9
S01000307,906,8
S01000308,912,3
S01000309,660,13
S01000310,808,19
S01000311,814,17
S01000312,517,2
S01000313,669,-
S01000314,531,8
S01000315,584,3
S01000316,686,31
S01000317,481,1
S01000318,532,4
S01000319,635,1
S01000320,667,4
S01000321,537,3
S01000322,926,-
S01000323,773,14
S01000324,812,4
S01000325,545,4
S01000326,702,5
S01000327,836,-
S01000328,565,7
S01000329,541,7
S01000330,622,2
S01000331,586,2
S01000332,595,1
S01000333,724,1
S01000334,756,8
S01000335,602,-
S01000336,661,10
S01000337,613,1
S01000338,420,10
S01000339,962,23
S01000340,890,11
S01000341,644,5
S01000342,450,12
S01000343,556,13
S01000344,820,12
S01000345,591,-
S01000346,641,-
S01000347,437,-
S01000348,731,8
S01000349,546,3
S01000350,764,6
S01000351,920,12
S01000352,743,8
S01000353,571,1
S01000354,483,1
S01000355,636,8
S01000356,577,1
S01000357,630,-
S01000358,935,1
S01000359,776,8
S01000360,447,18
S01000361,550,6
S01000362,866,4
S01000363,879,5
S01000364,805,12
S01000365,594,3
S01000366,709,11
S01000367,704,2
S01000368,714,11
S01000369,907,2
S01000370,725,2
S01000371,840,10
S01000372,870,13
S01000373,502,6
S01000374,650,1
S01000375,621,1
S01000376,834,2
S01000377,673,1
S01000378,536,4
S01000379,486,4
S01000380,703,3
S01000381,869,11
S01000382,673,7
S01000383,670,1
S01000384,652,25
S01000385,508,2
S01000386,700,6
S01000387,801,2
S01000388,620,1
S01000389,546,1
S01000390,647,4
S01000391,526,-
S01000392,598,9
S01000393,767,4
S01000394,602,4
S01000395,660,4
S01000396,874,2
S01000397,951,10
S01000398,651,2
S01000399,504,11
S01000400,635,6
S01000401,744,4
S01000402,562,3
S01000403,744,2
S01000404,694,4
S01000405,532,11
S01000406,568,-
S01000407,600,3
S01000408,449,-
S01000409,635,-
S01000410,596,3
S01000411,556,5
S01000412,735,7
S01000413,718,6
S01000414,668,15
S01000415,554,3
S01000416,584,8
S01000417,924,9
S01000418,650,2
S01000419,604,5
S01000420,873,22
S01000421,528,9
S01000422,612,15
S01000423,852,3
S01000424,625,15
S01000425,717,1
S01000426,718,17
S01000427,698,10
S01000428,714,7
S01000429,741,4
S01000430,506,8
S01000431,593,5
S01000432,887,8
S01000433,481,4
S01000434,626,3
S01000435,520,2
S01000436,658,-
S01000437,910,5
S01000438,646,5
S01000439,604,12
S01000440,823,-
S01000441,779,21
S01000442,798,8
S01000443,532,1
S01000444,525,4
S01000445,894,1
S01000446,826,6
S01000447,518,-
S01000448,570,1
S01000449,673,5
S01000450,593,6
S01000451,696,19
S01000452,493,3
S01000453,510,2
S01000454,434,10
S01000455,773,24
S01000456,646,4
S01000457,760,5
S01000458,765,8
S01000459,960,3
S01000460,696,15
S01000461,775,11
S01000462,916,12
S01000463,535,19
S01000464,672,22
S01000465,583,3
S01000466,743,6
S01000467,556,16
S01000468,493,4
S01000469,640,6
S01000470,872,2
S01000471,547,3
S01000472,801,1
S01000473,705,6
S01000474,590,3
S01000475,771,6
S01000476,499,4
S01000477,746,-
S01000478,821,6
S01000479,870,9
S01000480,643,2
S01000481,730,2
S01000482,687,3
S01000483,881,14
S01000484,711,6
S01000485,1038,4
S01000486,708,18
S01000487,493,-
S01000488,671,3
S01000489,781,17
S01000490,488,2
S01000491,534,4
S01000492,858,2
S01000493,516,32
S01000494,508,9
S01000495,877,2
S01000496,499,3
S01000497,588,10
S01000498,504,4
S01000499,708,24
S01000500,647,5
S01000501,581,7
S01000502,477,6
S01000503,452,-
S01000504,652,15
S01000505,707,5
S01000506,558,5
S01000507,1036,3
S01000508,799,4
S01000509,964,3
S01000510,614,-
S01000511,523,2
S01000512,798,6
S01000513,784,13
S01000514,466,3
S01000515,525,7
S01000516,612,18
S01000517,588,14
S01000518,777,36
S01000519,447,3
S01000520,911,11
S01000521,842,24
S01000522,564,9
S01000523,709,22
S01000524,600,-
S01000525,868,19
S01000526,873,2
S01000527,552,4
S01000528,649,7
S01000529,662,4
S01000530,423,4
S01000531,478,9
S01000532,695,8
S01000533,688,30
S01000534,747,4
S01000535,896,25
S01000536,484,2
S01000537,529,3
S01000538,728,4
S01000539,861,25
S01000540,723,20
S01000541,490,1
S01000542,620,3
S01000543,747,16
S01000544,689,18
S01000545,649,8
S01000546,617,10
S01000547,502,7
S01000548,943,19
S01000549,991,3
S01000550,537,-
S01000551,733,15
S01000552,528,5
S01000553,897,5
S01000554,665,27
S01000555,811,14
S01000556,801,8
S01000557,811,2
S01000558,478,3
S01000559,620,-
S01000560,952,9
S01000561,934,13
S01000562,852,20
S01000563,537,15
S01000564,776,31
S01000565,642,19
S01000566,723,34
S01000567,701,31
S01000568,500,16
S01000569,695,11
S01000570,887,-
S01000571,699,3
S01000572,765,-
S01000573,569,3
S01000574,735,9
S01000575,608,-
S01000576,565,2
S01000577,531,-
S01000578,678,1
S01000579,641,1
S01000580,510,6
S01000581,662,7
S01000582,685,1
S01000583,708,1
S01000584,686,16
S01000585,837,13
S01000586,725,2
S01000587,709,1
S01000588,539,5
S01000589,590,-
S01000590,678,-
S01000591,613,7
S01000592,837,9
S01000593,519,8
S01000594,543,-
S01000595,780,1
S01000596,872,10
S01000597,1036,-
S01000598,443,4
S01000599,761,6
S01000600,671,1
S01000601,917,9
S01000602,612,8
S01000603,781,6
S01000604,962,2
S01000605,725,9
S01000606,626,17
S01000607,732,2
S01000608,819,11
S01000609,876,10
S01000610,640,18
S01000611,566,2
S01000612,877,7
S01000613,895,8
S01000614,609,21
S01000615,670,7
S01000616,845,1
S01000617,562,5
S01000618,755,-
S01000619,615,-
S01000620,711,17
S01000621,889,10
S01000622,412,14
S01000623,731,3
S01000624,567,-
S01000625,613,-
S01000626,745,8
S01000627,869,6
S01000628,512,16
S01000629,521,-
S01000630,678,4
S01000631,581,4
S01000632,550,-
S01000633,580,1
S01000634,738,9
S01000635,635,-
S01000636,438,8
S01000637,547,3
S01000638,441,4
S01000639,550,6
S01000640,584,22
S01000641,721,9
S01000642,731,13
S01000643,586,-
S01000644,624,2
S01000645,734,9
S01000646,773,6
S01000647,817,1
S01000648,810,14
S01000649,529,-
S01000650,695,-
S01000651,700,2
S01000652,720,7
S01000653,850,5
S01000654,825,8
S01000655,689,11
S01000656,695,9
S01000657,645,5
S01000658,506,1
S01000659,944,5
S01000660,843,5
S01000661,680,3
S01000662,494,-
S01000663,620,9
S01000664,709,6
S01000665,608,4
S01000666,452,3
S01000667,887,7
S01000668,834,10
S01000669,694,18
S01000670,494,2
S01000671,526,5
S01000672,572,14
S01000673,679,1
S01000674,844,11
S01000675,669,2
S01000676,440,-
S01000677,706,4
S01000678,897,12
S01000679,606,22
S01000680,678,17
S01000681,670,17
S01000682,463,19
S01000683,469,2
S01000684,585,7
S01000685,717,2
S01000686,626,8
S01000687,742,5
S01000688,682,6
S01000689,509,7
S01000690,742,9
S01000691,716,9
S01000692,607,26
S01000693,814,17
S01000694,655,8
S01000695,681,10
S01000696,648,11
S01000697,436,-
S01000698,583,3
S01000699,558,10
S01000700,828,-
S01000701,810,6
S01000702,501,-
S01000703,687,4
S01000704,684,11
S01000705,975,6
S01000706,732,9
S01000707,478,6
S01000708,472,25
S01000709,792,36
S01000710,939,7
S01000711,562,9
S01000712,510,4
S01000713,789,-
S01000714,767,12
S01000715,566,8
S01000716,459,38
S01000717,873,26
S01000718,891,13
S01000719,594,8
S01000720,772,25
S01000721,607,9
S01000722,742,45
S01000723,492,-
S01000724,768,20
S01000725,604,15
S01000726,687,31
S01000727,611,6
S01000728,687,9
S01000729,494,5
S01000730,430,12
S01000731,465,20
S01000732,435,18
S01000733,674,14
S01000734,751,24
S01000735,449,5
S01000736,708,7
S01000737,527,11
S01000738,544,13
S01000739,694,26
S01000740,753,18
S01000741,890,12
S01000742,481,9
S01000743,591,2
S01000744,622,16
S01000745,660,7
S01000746,663,3
S01000747,507,-
S01000748,506,11
S01000749,502,11
S01000750,602,6
S01000751,663,3
S01000752,880,22
S01000753,610,3
S01000754,545,8
S01000755,712,31
S01000756,887,6
S01000757,600,1
S01000758,901,4
S01000759,889,25
S01000760,506,5
S01000761,557,3
S01000762,621,2
S01000763,765,22
S01000764,627,6
S01000765,512,1
S01000766,653,3
S01000767,535,7
S01000768,705,15
S01000769,805,14
S01000770,549,7
S01000771,814,7
S01000772,593,1
S01000773,840,-
S01000774,440,18
S01000775,549,2
S01000776,571,2
S01000777,410,23
S01000778,454,5
S01000779,664,12
S01000780,846,19
S01000781,830,2
S01000782,643,5
S01000783,454,2
S01000784,782,-
S01000785,737,1
S01000786,715,3
S01000787,474,7
S01000788,648,10
S01000789,588,3
S01000790,493,9
S01000791,558,14
S01000792,593,12
S01000793,616,10
S01000794,726,13
S01000795,702,5
S01000796,482,9
S01000797,530,5
S01000798,493,14
S01000799,460,6
S01000800,892,13
S01000801,577,2
S01000802,689,15
S01000803,812,18
S01000804,877,14
S01000805,750,22
S01000806,753,12
S01000807,654,38
S01000808,614,8
S01000809,445,40
S01000810,552,5
S01000811,759,7
S01000812,509,1
S01000813,699,3
S01000814,843,7
S01000815,435,22
S01000816,443,15
S01000817,786,6
S01000818,659,7
S01000819,696,11
S01000820,518,17
S01000821,724,13
S01000822,542,-
S01000823,496,2
S01000824,576,16
S01000825,602,13
S01000826,667,3
S01000827,632,5
S01000828,759,5
S01000829,589,14
S01000830,631,17
S01000831,847,28
S01000832,794,78
S01000833,514,10
S01000834,853,10
S01000835,629,4
S01000836,770,17
S01000837,683,7
S01000838,691,4
S01000839,873,19
S01000840,695,11
S01000841,896,10
S01000842,764,6
S01000843,727,5
S01000844,616,-
S01000845,504,2
S01000846,666,11
S01000847,884,4
S01000848,654,5
S01000849,508,-
S01000850,579,8
S01000851,606,14
S01000852,607,3
S01000853,519,6
S01000854,841,8
S01000855,714,3
S01000856,530,-
S01000857,548,5
S01000858,670,5
S01000859,779,-
S01000860,802,10
S01000861,620,1
S01000862,517,1
S01000863,567,-
S01000864,622,14
S01000865,604,6
S01000866,876,11
S01000867,631,4
S01000868,638,13
S01000869,501,11
S01000870,793,8
S01000871,754,2
S01000872,600,4
S01000873,938,-
S01000874,484,11
S01000875,678,11
S01000876,652,24
S01000877,663,8
S01000878,527,7
S01000879,817,1
S01000880,730,3
S01000881,652,7
S01000882,850,9
S01000883,775,5
S01000884,467,-
S01000885,491,2
S01000886,699,1
S01000887,720,13
S01000888,650,9
S01000889,733,-
S01000890,715,10
S01000891,785,10
S01000892,511,4
S01000893,669,8
S01000894,547,-
S01000895,805,7
S01000896,431,8
S01000897,632,18
S01000898,521,16
S01000899,788,39
S01000900,601,17
S01000901,591,15
S01000902,894,5
S01000903,880,23
S01000904,617,23
S01000905,607,6
S01000906,507,-
S01000907,732,25
S01000908,637,11
S01000909,822,11
S01000910,751,14
S01000911,861,18
S01000912,677,5
S01000913,648,12
S01000914,786,8
S01000915,842,19
S01000916,836,52
S01000917,603,14
S01000918,540,14
S01000919,583,11
S01000920,453,9
S01000921,672,4
S01000922,724,1
S01000923,682,7
S01000924,822,7
S01000925,852,5
S01000926,550,-
S01000927,924,7
S01000928,875,39
S01000929,452,3
S01000930,750,28
S01000931,664,6
S01000932,828,9
S01000933,789,5
S01000934,843,31
S01000935,797,17
S01000936,871,12
S01000937,513,10
S01000938,787,5
S01000939,648,11
S01000940,716,9
S01000941,504,2
S01000942,797,11
S01000943,798,8
S01000944,715,6
S01000945,686,3
S01000946,696,9
S01000947,677,3
S01000948,659,2
S01000949,557,6
S01000950,692,15
S01000951,632,7
S01000952,782,4
S01000953,852,-
S01000954,794,16
S01000955,490,-
S01000956,754,29
S01000957,461,2
S01000958,761,20
S01000959,619,19
S01000960,479,5
S01000961,794,2
S01000962,526,10
S01000963,679,14
S01000964,756,7
S01000965,571,20
S01000966,987,12
S01000967,514,4
S01000968,860,22
S01000969,756,16
S01000970,739,8
S01000971,664,11
S01000972,920,10
S01000973,558,1
S01000974,772,7
S01000975,575,9
S01000976,447,9
S01000977,657,11
S01000978,678,9
S01000979,587,12
S01000980,672,2
S01000981,587,14
S01000982,497,8
S01000983,503,19
S01000984,588,4
S01000985,652,10
S01000986,456,11
S01000987,578,4
S01000988,445,7
S01000989,775,9
S01000990,694,6
S01000991,440,3
S01000992,792,1
S01000993,787,12
S01000994,901,21
S01000995,772,8
S01000996,833,6
S01000997,938,2
S01000998,541,-
S01000999,659,3
S01001000,482,-
S01001001,494,6
S01001002,626,-
S01001003,879,-
S01001004,642,-
S01001005,804,-
S01001006,730,-
S01001007,740,2
S01001008,632,7
S01001009,534,2
S01001010,674,3
S01001011,558,-
S01001012,778,1
S01001013,689,-
S01001014,552,8
S01001015,446,6
S01001016,856,10
S01001017,718,10
S01001018,688,1
S01001019,819,48
S01001020,474,3
S01001021,837,3
S01001022,668,5
S01001023,893,11
S01001024,708,10
S01001025,888,7
S01001026,768,17
S01001027,898,2
S01001028,681,3
S01001029,673,5
S01001030,676,4
S01001031,890,5
S01001032,678,-
S01001033,658,6
S01001034,826,17
S01001035,504,-
S01001036,476,1
S01001037,804,2
S01001038,702,5
S01001039,478,2
S01001040,561,7
S01001041,538,3
S01001042,731,6
S01001043,638,9
S01001044,897,20
S01001045,656,2
S01001046,446,11
S01001047,592,10
S01001048,575,6
S01001049,623,9
S01001050,843,37
S01001051,660,3
S01001052,510,3
S01001053,740,6
S01001054,704,5
S01001055,684,6
S01001056,679,10
S01001057,582,7
S01001058,703,5
S01001059,571,6
S01001060,724,11
S01001061,711,16
S01001062,490,5
S01001063,736,11
S01001064,690,25
S01001065,685,12
S01001066,670,4
S01001067,693,18
S01001068,734,18
S01001069,775,31
S01001070,718,31
S01001071,573,4
S01001072,668,17
S01001073,894,11
S01001074,459,9
S01001075,891,14
S01001076,706,18
S01001077,643,35
S01001078,723,24
S01001079,443,9
S01001080,589,5
S01001081,501,10
S01001082,788,25
S01001083,723,13
S01001084,871,8
S01001085,816,27
S01001086,697,14
S01001087,503,5
S01001088,904,25
S01001089,798,33
S01001090,717,9
S01001091,453,6
S01001092,635,24
S01001093,552,23
S01001094,813,3
S01001095,455,97
S01001096,594,26
S01001097,577,4
S01001098,646,-
S01001099,555,17
S01001100,726,3
S01001101,507,32
S01001102,383,24
S01001103,590,18
S01001104,470,5
S01001105,789,4
S01001106,683,4
S01001107,792,2
S01001108,390,7
S01001109,545,11
S01001110,578,7
S01001111,716,4
S01001112,666,14
S01001113,753,13
S01001114,753,18
S01001115,688,7
S01001116,530,5
S01001117,465,-
S01001118,601,2
S01001119,806,11
S01001120,592,5
S01001121,669,2
S01001122,575,7
S01001123,816,2
S01001124,598,4
S01001125,578,3
S01001126,863,3
S01001127,674,4
S01001128,714,2
S01001129,836,11
S01001130,771,1
S01001131,753,2
S01001132,670,2
S01001133,770,13
S01001134,915,1
S01001135,509,3
S01001136,659,1
S01001137,681,4
S01001138,713,13
S01001139,657,3
S01001140,866,-
S01001141,675,6
S01001142,837,2
S01001143,666,9
S01001144,625,5
S01001145,566,-
S01001146,911,-
S01001147,497,5
S01001148,654,4
S01001149,731,1
S01001150,625,3
S01001151,710,8
S01001152,901,5
S01001153,715,-
S01001154,704,6
S01001155,560,4
S01001156,584,3
S01001157,807,1
S01001158,528,3
S01001159,656,5
S01001160,541,3
S01001161,553,-
S01001162,770,8
S01001163,577,5
S01001164,545,-
S01001165,703,4
S01001166,733,1
S01001167,862,2
S01001168,555,-
S01001169,855,15
S01001170,742,6
S01001171,526,-
S01001172,582,1
S01001173,811,4
S01001174,551,5
S01001175,789,3
S01001176,698,5
S01001177,623,4
S01001178,804,1
S01001179,923,1
S01001180,621,-
S01001181,846,3
S01001182,829,5
S01001183,855,1
S01001184,843,3
S01001185,554,-
S01001186,764,5
S01001187,829,7
S01001188,715,8
S01001189,921,6
S01001190,744,2
S01001191,612,4
S01001192,896,2
S01001193,810,-
S01001194,884,5
S01001195,904,5
S01001196,855,12
S01001197,511,4
S01001198,697,5
S01001199,892,10
S01001200,776,5
S01001201,651,1
S01001202,560,-
S01001203,741,8
S01001204,797,-
S01001205,715,-
S01001206,711,6
S01001207,881,-
S01001208,641,1
S01001209,555,3
S01001210,787,2
S01001211,882,-
S01001212,580,5
S01001213,808,10
S01001214,678,1
S01001215,745,1
S01001216,877,9
S01001217,851,-
S01001218,649,-
S01001219,396,9
S01001220,519,-
S01001221,510,1
S01001222,893,5
S01001223,724,3
S01001224,885,15
S01001225,934,3
S01001226,717,8
S01001227,690,-
S01001228,760,5
S01001229,725,-
S01001230,791,15
S01001231,697,2
S01001232,406,3
S01001233,908,2
S01001234,623,3
S01001235,659,7
S01001236,841,8
S01001237,547,2
S01001238,706,23
S01001239,747,17
S01001240,755,2
S01001241,735,5
S01001242,776,17
S01001243,435,27
S01001244,737,1
S01001245,722,15
S01001246,911,4
S01001247,610,9
S01001248,800,-
S01001249,661,-
S01001250,922,2
S01001251,663,8
S01001252,603,-
S01001253,585,3
S01001254,647,4
S01001255,854,5
S01001256,810,4
S01001257,737,7
S01001258,479,10
S01001259,744,5
S01001260,573,-
S01001261,818,16
S01001262,827,1
S01001263,484,-
S01001264,393,-
S01001265,434,6
S01001266,698,-
S01001267,895,7
S01001268,693,9
S01001269,452,6
S01001270,747,28
S01001271,727,21
S01001272,612,9
S01001273,642,17
S01001274,676,32
S01001275,597,6
S01001276,476,6
S01001277,680,20
S01001278,460,3
S01001279,917,21
S01001280,574,4
S01001281,783,10
S01001282,695,2
S01001283,463,5
S01001284,655,30
S01001285,584,16
S01001286,563,6
S01001287,850,16
S01001288,864,9
S01001289,590,4
S01001290,518,6
S01001291,529,6
S01001292,868,42
S01001293,738,6
S01001294,698,15
S01001295,853,5
S01001296,696,5
S01001297,711,10
S01001298,784,9
S01001299,834,12
S01001300,859,15
S01001301,584,13
S01001302,631,6
S01001303,501,2
S01001304,661,2
S01001305,708,6
S01001306,653,14
S01001307,915,4
S01001308,901,18
S01001309,690,6
S01001310,692,14
S01001311,573,9
S01001312,718,21
S01001313,624,7
S01001314,668,5
S01001315,837,10
S01001316,918,31
S01001317,877,8
S01001318,507,-
S01001319,611,20
S01001320,875,15
S01001321,491,8
S01001322,733,5
S01001323,547,8
S01001324,834,47
S01001325,672,6
S01001326,909,1
S01001327,717,2
S01001328,786,4
S01001329,554,9
S01001330,933,4
S01001331,830,3
S01001332,823,7
S01001333,763,10
S01001334,792,11
S01001335,909,4
S01001336,873,4
S01001337,829,7
S01001338,763,11
S01001339,635,1
S01001340,706,3
S01001341,768,11
S01001342,799,3
S01001343,941,13
S01001344,788,1
S01001345,679,17
S01001346,616,2
S01001347,714,-
S01001348,657,4
S01001349,662,2
S01001350,664,26
S01001351,494,1
S01001352,807,4
S01001353,619,1
S01001354,703,10
S01001355,716,5
S01001356,605,3
S01001357,644,6
S01001358,800,18
S01001359,665,-
S01001360,787,5
S01001361,472,4
S01001362,589,-
S01001363,495,1
S01001364,802,2
S01001365,617,13
S01001366,906,4
S01001367,676,-
S01001368,897,11
S01001369,879,12
S01001370,690,-
S01001371,567,1
S01001372,736,3
S01001373,504,7
S01001374,578,-
S01001375,639,2
S01001376,612,11
S01001377,743,12
S01001378,565,-
S01001379,926,11
S01001380,769,4
S01001381,808,6
S01001382,526,2
S01001383,576,7
S01001384,876,9
S01001385,738,6
S01001386,775,14
S01001387,752,2
S01001388,776,17
S01001389,467,1
S01001390,803,5
S01001391,760,2
S01001392,479,10
S01001393,503,-
S01001394,462,7
S01001395,779,10
S01001396,620,10
S01001397,743,20
S01001398,855,6
S01001399,817,22
S01001400,865,6
S01001401,664,7
S01001402,886,3
S01001403,718,2
S01001404,543,2
S01001405,753,4
S01001406,572,1
S01001407,803,10
S01001408,777,5
S01001409,832,13
S01001410,902,12
S01001411,527,8
S01001412,883,16
S01001413,715,6
S01001414,630,5
S01001415,659,9
S01001416,544,6
S01001417,962,4
S01001418,893,3
S01001419,693,1
S01001420,531,13
S01001421,815,8
S01001422,510,-
S01001423,763,-
S01001424,1007,5
S01001425,892,1
S01001426,683,-
S01001427,861,4
S01001428,929,6
S01001429,565,4
S01001430,934,-
S01001431,994,1
S01001432,686,3
S01001433,883,-
S01001434,984,1
S01001435,933,1
S01001436,942,1
S01001437,910,-
S01001438,581,-
S01001439,759,-
S01001440,935,-
S01001441,810,-
S01001442,708,2
S01001443,898,4
S01001444,947,11
S01001445,702,4
S01001446,883,-
S01001447,712,-
S01001448,683,-
S01001449,572,-
S01001450,776,1
S01001451,662,-
S01001452,729,1
S01001453,825,8
S01001454,930,1
S01001455,747,6
S01001456,592,-
S01001457,872,8
S01001458,927,5
S01001459,871,1
S01001460,692,3
S01001461,878,-
S01001462,833,-
S01001463,610,3
S01001464,850,9
S01001465,597,-
S01001466,742,3
S01001467,811,12
S01001468,631,2
S01001469,775,-
S01001470,950,5
S01001471,678,6
S01001472,846,-
S01001473,708,-
S01001474,894,-
S01001475,611,-
S01001476,993,-
S01001477,986,9
S01001478,671,-
S01001479,596,1
S01001480,495,-
S01001481,949,7
S01001482,716,9
S01001483,828,3
S01001484,818,-
S01001485,682,11
S01001486,731,1
S01001487,647,-
S01001488,896,7
S01001489,652,6
S01001490,849,7
S01001491,847,-
S01001492,912,11
S01001493,807,5
S01001494,805,16
S01001495,568,-
S01001496,863,-
S01001497,686,4
S01001498,741,-
S01001499,961,3
S01001500,765,6
S01001501,800,2
S01001502,846,10
S01001503,859,4
S01001504,850,5
S01001505,970,2
S01001506,508,8
S01001507,889,16
S01001508,939,8
S01001509,874,9
S01001510,544,4
S01001511,591,6
S01001512,818,18
S01001513,794,40
S01001514,770,-
S01001515,695,-
S01001516,704,3
S01001517,805,4
S01001518,979,7
S01001519,890,-
S01001520,708,10
S01001521,933,8
S01001522,942,3
S01001523,726,2
S01001524,910,8
S01001525,799,2
S01001526,597,6
S01001527,774,1
S01001528,972,-
S01001529,608,-
S01001530,828,2
S01001531,682,18
S01001532,536,2
S01001533,848,2
S01001534,680,-
S01001535,888,11
S01001536,787,16
S01001537,642,9
S01001538,854,2
S01001539,777,1
S01001540,776,-
S01001541,822,3
S01001542,695,3
S01001543,739,4
S01001544,900,4
S01001545,764,-
S01001546,849,24
S01001547,816,1
S01001548,546,12
S01001549,849,-
S01001550,602,6
