 delta_b_6, delta_b_9
-3.25E-02,0.995397091
-15.45419033,-21.33404863
-0.390871749,0.637025206
-17.18422152,-23.06407982
2.64967365,3.677570599
3.939656788,4.967553761
1.176527844,2.20442476
3.369618941,4.397515911
-14.89453661,-20.77439491
1.827625435,2.855522391
2.714523945,3.742420915
3.122631783,4.150528754
3.714328012,4.742224986
3.904946505,4.932843479
2.709084334,3.736981306
2.74282526,3.770722232
2.470411384,3.498308355
3.438269347,4.466166321
2.67145965,3.69935662
2.835633662,3.863530635
-5.19E-02,0.976003528
-8.13E-02,0.946558637
-16.31261109,-22.19246939
-16.95659058,-22.83644889
-16.16106936,-22.04092766
-0.829312534,0.198584396
2.78095372,3.808850692
-0.218879875,0.809017002
-1.00354935,2.43E-02
3.569222297,4.597119269
2.775613992,3.803510962
4.480311554,5.508208528
2.93823884,3.96613581
3.747216551,4.775113524
2.531129673,3.559026646
3.461398288,4.489295261
-15.75883784,-21.63869614
1.393658413,2.421555383
2.953738456,3.981635427
3.168572193,4.196469165
6.895021612,7.922918588
3.967572958,4.995469923
1.837718288,2.86561525
2.300527886,3.328424851
-15.53358309,-21.41344139
6.178623247,7.206520222
2.07735599,3.10525295
3.23E-02,1.060199265
1.84E-02,1.046311896
-14.94732944,-20.82718774
7.353423513,8.381320488
7.01079361,8.038690584
7.438401409,8.466298384
7.339066319,8.366963294
1.170875783,2.198772709
-16.01298007,-21.89283837
2.866460882,3.894357849
4.611469309,5.639366284
2.433607328,3.461504296
1.732341295,2.760238249
2.907822573,3.935719543
2.445119678,3.473016642
3.163507934,4.191404906
1.794786788,2.822683747
-15.69955574,-21.57941404
4.252229675,5.280126649
6.124042898,7.151939873
9.607063668,10.63496064
3.440699713,4.468596687
3.670375927,4.6982729
3.774800903,4.802697877
8.162152285,9.19004926
5.858279742,6.886176718
1.927018237,2.954915184
4.694993689,5.722890663
4.195476118,5.223373092
2.341873735,3.369770697
2.210092652,3.237989624
2.728838238,3.756735209
3.537769439,4.565666409
1.235230289,2.263127257
5.293012779,6.320909753
3.506412628,4.534309601
2.23431061,3.262207583
2.929662491,3.957559463
9.291330164,10.31922714
2.729541635,3.757438607
2.851081997,3.87897897
3.035662558,4.06355953
4.945391302,5.973288276
2.32969322,3.357590192
3.539524927,4.5674219
2.695871755,3.723768727
3.386724417,4.414621389
3.707122071,4.735019044
1.535892141,2.563789094
5.29724093,6.325137905
3.350541084,4.378438054
4.323520007,5.351416981
-0.45804304,0.569853917
0.154120352,1.182017315
0.290547152,1.318444116
0.432198358,1.460095322
1.010986242,2.038883211
0.140631249,1.168528102
1.234700694,2.262597642
-16.33425231,-22.21411061
1.52274332,2.550640286
0.853383407,1.881280372
2.214145046,3.242042018
1.332975117,2.360872088
2.194013403,3.221910365
1.831241848,2.8591388
2.090510915,3.118407876
1.65413525,2.682032206
0.920891339,1.948788297
0.9797118,2.007608767
1.54429389,2.572190862
1.663208485,2.691105457
2.866992017,3.894888988
3.289942841,4.317839814
2.536150723,3.564047689
2.640182818,3.668079789
1.803089653,2.830986612
1.301648495,2.329545457
-15.88757039,-21.7674287
1.920016682,2.94791363
3.240577109,4.268474082
1.485349938,2.513246893
2.946128426,3.974025395
0.282122817,1.310019772
1.472540849,2.500437807
0.14234226,1.170239198
1.47196233,2.499859302
2.32659911,3.354496082
-17.1703262,-23.0501845
-16.39460675,-22.27446506
1.046098226,2.073995189
1.246861232,2.274758199
-0.707484224,0.320412714
0.691945037,1.719842002
-1.211855958,-0.18395906
5.08E-02,1.078673231
3.039188188,4.067085161
0.62615443,1.654051386
0.626134864,1.654031822
0.674112858,1.70200982
1.295714847,2.323611811
2.018400781,3.04629775
-0.139693583,0.888203343
2.741934089,3.769831061
2.580522719,3.608419688
3.149944991,4.177841964
2.259956786,3.287853755
3.502667283,4.530564257
1.699707405,2.727604358
1.578412176,2.606309148
-0.509466899,0.518430031
0.58571473,1.613611666
2.257586252,3.285483225
-0.233836754,0.794060178
3.014627296,4.042524267
2.413341472,3.441238436
2.554859259,3.582756226
3.937956318,4.965853291
2.06419662,3.092093593
2.500248197,3.528145168
2.833715592,3.861612563
1.355150707,2.383047674
1.433787233,2.461684205
2.569714083,3.597611056
2.854707172,3.882604146
0.49253872,1.520435613
2.674155952,3.702052925
2.364719766,3.392616738
1.844679113,2.872576084
1.525143879,2.553040849
1.964383757,2.992280729
1.05764503,2.085541995
2.839978362,3.867875334
1.986335765,3.014232737
2.217436635,3.245333607
3.159205669,4.187102643
2.495719517,3.52361649
2.330294382,3.358191355
0.36159861,1.389495572
2.838679455,3.866576428
2.602005275,3.629902248
-2.327749653,-1.299852789
0.937472704,1.965369665
1.37581088,2.403707851
0.333155818,1.361052785
2.6720605,3.69995747
2.83104811,3.858945081
1.89749262,2.925389584
3.368775944,4.396672917
2.584615184,3.612512155
3.218304724,4.246201696
2.320511969,3.348408941
3.246388548,4.274285521
2.005924239,3.033821196
3.909938488,4.937835461
2.692631747,3.720528715
2.313606975,3.341503944
1.35495012,2.382847068
3.622589997,4.650486972
2.282945955,3.310842925
-15.95934259,-21.8392009
3.058505325,4.086402296
3.379841629,4.407738602
2.329315472,3.357212444
1.843011182,2.870908149
2.267117978,3.295014945
2.967437609,3.995334579
2.073497429,3.101394391
2.969483428,3.9973804
2.066863834,3.094760804
1.991637551,3.01953451
2.821646702,3.849543672
3.212354877,4.240251849
3.32E-02,1.061083894
2.818546238,3.846443203
3.440634086,4.468531058
4.671907252,5.699804227
1.027871796,2.055768763
7.43333994,8.461236915
3.939101179,4.966998141
1.915983813,2.943880769
-0.254511622,0.773385331
0.208042423,1.235939386
0.950307148,1.978204113
2.393757449,3.42165442
2.446914517,3.474811483
0.715261765,1.743158671
2.891000776,3.91889775
4.991449282,6.019346257
2.034326712,3.062223673
2.723424692,3.751321666
-15.62130877,-21.50116707
-15.7290917,-21.60895001
1.026226546,2.054123473
6.271418223,7.299315197
2.944677136,3.972574107
3.723718507,4.75161548
-15.385239,-21.2650973
1.355892693,2.383789628
2.263698699,3.29159565
4.4122091,5.44010607
6.63630103,7.664198005
4.81647707,5.844374044
12.50413667,13.53203364
4.252908292,5.280805258
2.777693666,3.805590637
2.780660765,3.808557736
3.398119615,4.426016583
1.87064198,2.898538952
1.840072074,2.867969045
7.134584588,8.162481564
2.521953458,3.549850429
0.901670451,1.92956734
11.48107866,12.50897564
-15.65706596,-21.53692427
2.428822987,3.45671994
-14.33695528,-20.21681358
12.61786813,13.6457651
13.91007424,14.93797122
3.887918706,4.91581568
3.37051568,4.398412653
3.779448394,4.807345368
2.966114449,3.994011421
2.576559134,3.604456097
12.64304647,13.67094345
1.72051923,2.748416156
3.537538606,4.565435578
2.842787148,3.87068412
2.784607764,3.812504734
3.173184525,4.201081495
2.430863731,3.45876069
1.950483846,2.978380817
3.080726634,4.108623604
4.282057289,5.309954259
3.508642878,4.536539846
2.190489967,3.218386912
1.320588989,2.348485915
3.33412411,4.362021077
4.668073524,5.695970499
2.142003733,3.169900704
-15.7198428,-21.5997011
2.947767993,3.975664965
1.208259549,2.236156503
2.377744576,3.405641547
2.460244907,3.488141877
7.92E-02,1.107143233
1.543878924,2.571775885
0.959287575,1.987184532
-16.31801218,-22.19787048
0.88126192,1.909158885
2.155902461,3.183799434
-0.688903849,0.338993027
1.96088632,2.988783291
0.52296887,1.550865836
0.343902043,1.371799006
3.051612472,4.079509444
0.798547611,1.826444543
2.208818404,3.236715371
-16.91571903,-22.79557733
-16.97624528,-22.85610358
1.487246763,2.515143712
2.776194578,3.804091549
2.449618554,3.477515521
0.314944068,1.342841033
-16.99080239,-22.8706607
0.629565588,1.65746253
-16.82786323,-22.70772154
2.074619614,3.102516578
1.002859328,2.030756293
3.645589962,4.673486934
1.100512168,2.128409096
2.241231111,3.269128081
2.53085266,3.558749627
12.14191543,13.1698124
5.14708981,6.174986784
1.147249209,2.175146173
4.381356127,5.409253101
7.049658849,8.077555824
4.616513189,5.64441016
0.171163423,1.199060275
2.189384484,3.217281456
0.613855451,1.641752421
0.825493954,1.853390923
1.43951037,2.467407343
1.31625387,2.344150842
-1.897572359,-0.869675474
0.535873262,1.56377023
1.210750963,2.238647935
0.312167101,1.340064068
0.876000434,1.903897404
0.348017975,1.375914942
1.323511226,2.351408199
1.635609325,2.663506297
0.572833191,1.600730159
-0.420024678,0.607872279
-0.21438683,0.813510119
1.672494175,2.700391148
1.285714025,2.313610997
-0.370944845,0.656952112
0.970359375,1.998256343
0.342802054,1.370699017
-0.200123144,0.82777381
0.313474266,1.34137123
1.122429103,2.150326074
3.72E-02,1.065112817
2.869418206,3.897315178
3.892893705,4.920790679
2.992539935,4.020436903
